resampling,kernel,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn,training_time
smote,rbf,1.0,1.0,1.0,1.0,1.0,1.0,28,0,19972,0,0
smotetomek,rbf,1.0,1.0,1.0,1.0,1.0,1.0,28,0,19972,0,0
smote,linear,0.99995,0.9655172413793104,1.0,0.9824561403508771,0.9999928471288375,0.9947965850059447,28,1,19971,0,0
none,linear,0.99995,0.9655172413793104,1.0,0.9824561403508771,0.9999928471288375,0.9947965850059446,28,1,19971,0,0
smotetomek,linear,0.99995,0.9655172413793104,1.0,0.9824561403508771,0.9999928471288375,0.9947965850059447,28,1,19971,0,0
none,poly,0.99995,0.9655172413793104,1.0,0.9824561403508771,0.9999660238619782,0.9631183734421855,28,1,19971,0,0
none,rbf,0.9999,1.0,0.9285714285714286,0.9629629629629629,1.0,1.0,26,0,19972,2,0
smote,poly,0.9996,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.999867671883494,0.949959383958142,24,4,19968,4,0
smotetomek,poly,0.9996,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.999867671883494,0.949959383958142,24,4,19968,4,0
undersample,linear,0.999,0.5833333333333334,1.0,0.7368421052631579,0.9998068724786129,0.7613200643227073,28,20,19952,0,0
undersample,poly,0.9981,0.34375,0.39285714285714285,0.36666666666666664,0.9646952161597665,0.25428604501309254,11,21,19951,17,0
undersample,rbf,0.9876,0.09259259259259259,0.8928571428571429,0.16778523489932887,0.9971853451975623,0.710035675598871,25,245,19727,3,0
undersample,sigmoid,0.9788,0.05203619909502263,0.8214285714285714,0.09787234042553192,0.9903024949214615,0.5399887337726437,23,419,19553,5,0
smote,sigmoid,0.9048,0.012474012474012475,0.8571428571428571,0.02459016393442623,0.9571149609453233,0.27099922819073363,24,1900,18072,4,0
smotetomek,sigmoid,0.9048,0.012474012474012475,0.8571428571428571,0.02459016393442623,0.9571149609453233,0.27099922819073363,24,1900,18072,4,0
none,sigmoid,0.8148,0.005913978494623656,0.7857142857142857,0.011739594450373533,0.8802895482246575,0.009970732201070427,22,3698,16274,6,0
